                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 2.0188,                 2.1654,                 2.2406,                0.55815,                0.08752,                0.18563,                0.06711,                 2.5367,                 2.8353,                 2.7767,              0.0009168,              0.0009168,              0.0009168
                     54,                 1.9929,                  2.142,                 2.2271,                0.54229,                0.07319,                  0.169,                0.05214,                 2.8075,                 2.8099,                 3.1678,              0.0009152,              0.0009152,              0.0009152
                     55,                 2.0267,                 2.1307,                 2.2329,                0.58099,                0.07653,                0.14108,                 0.0503,                  2.519,                 2.8284,                 2.8059,              0.0009136,              0.0009136,              0.0009136
                     56,                 2.0312,                  2.092,                 2.2275,                0.62102,                0.08276,                0.18661,                0.06005,                 2.5533,                 2.8243,                 2.8279,               0.000912,               0.000912,               0.000912
                     57,                  2.003,                 2.0817,                 2.2261,                0.52207,                0.06209,                0.16669,                0.05776,                 2.5978,                 2.8116,                 2.8421,              0.0009104,              0.0009104,              0.0009104
                     58,                 2.0213,                 2.0409,                 2.2204,                0.50988,                0.13693,                0.18013,                0.06235,                  2.412,                 2.7736,                 2.7093,              0.0009088,              0.0009088,              0.0009088
                     59,                 2.0737,                 2.1929,                 2.2511,                0.54059,                0.07712,                0.17432,                0.05673,                 2.5892,                  2.765,                 2.8044,              0.0009072,              0.0009072,              0.0009072
                     60,                 1.9969,                 2.1853,                 2.2007,                0.74801,                0.06663,                0.15863,                0.05801,                 2.5564,                 2.9047,                 2.8118,              0.0009056,              0.0009056,              0.0009056
                     61,                 1.9992,                 2.1312,                 2.2182,                0.49118,                0.12248,                0.18808,                0.07183,                 2.4775,                 2.8524,                 2.7451,               0.000904,               0.000904,               0.000904
                     62,                 1.9746,                 2.0835,                 2.1913,                0.69969,                0.11957,                0.17475,                0.05815,                  2.588,                 2.9117,                 2.8803,              0.0009024,              0.0009024,              0.0009024
